commenter_slug,author_slug,comment_count
priscila-pree-silva,mitapatel1,19
amanai-man,tiffanymasson,19
mohammed-kasujee,yauhanmehta,19
priscila-pree-silva,yauhanmehta,19
jorgecalzada,mitapatel1,19
brandallwillis,charomero,19
joyadass,emilyparcell,19
bricemaur,charomero,19
rayjbjang,shawnfreeman-,19
realnickbradley,shawnfreeman-,19
mohammed-kasujee,geezulkifli,18
jeremiah-teo-charisma-business-coach,geezulkifli,18
thomasallanjones,geezulkifli,18
lynnetlevy,nandiitaa,18
mariaee,jorgecalzada,18
amanai-man,sara-a-riedel,18
dianekucala,lingabson,18
mariasabio,lingabson,18
priscila-pree-silva,dartarieks,18
marcellabremer,dartarieks,18
mohammed-kasujee,alliestories8,18
michaela-daly-fcca,dartarieks,18
thomasallanjones,mariaee,18
jorgecalzada,michaela-daly-fcca,18
dartarieks,michaela-daly-fcca,18
shivaniberry,michaela-daly-fcca,18
mahaalaoui,michaela-daly-fcca,18
kandis-d-655999108,chrislangsocial,18
chrismarkens,michaela-daly-fcca,18
mohammed-kasujee,thomasallanjones,18
nandiitaa,thomasallanjones,18
renemadden,thomasallanjones,18
alliestories8,sineadmodonovan,18
dianekucala,thomasallanjones,18
alliestories8,michaela-daly-fcca,18
kristaps-kazaks,sineadmodonovan,18
ashleymunday0,sineadmodonovan,18
dr-jerry-hu,dianbasit,18
mariaee,victortrieu,18
anjumemanuel,victortrieu,18
lynnetlevy,barryflanagan,18
mohammed-kasujee,melisabuie,18
karirusso,priscila-pree-silva,18
sara-a-riedel,melisabuie,18
lingabson,melisabuie,18
priscila-pree-silva,karen-stone-performancehabits,18
mitapatel1,sanjivberi,18
maryam-jan-akbari,karen-stone-performancehabits,18
james-kamanski,sanjivberi,18
michaela-daly-fcca,karen-stone-performancehabits,18
mariaee,ashleymunday0,18
mohammed-kasujee,ashleymunday0,18
posts,bridgett-strickler,18
coryblumenfeld,shanebarker,18
brandallwillis,gabriella-cacciatore-b3912224,18
dartarieks,mahaalaoui,18
chrismurphyhq,chrismurphyhq,18
marcellabremer,renemadden,18
executivecareercoaching,renemadden,18
hasansajid,mohammed-kasujee,18
mohammed-kasujee,paula-beattie-7a89795,18
karen-stone-performancehabits,patrickcattin,18
alliestories8,mitapatel1,18
alliestories8,yauhanmehta,18
ashleymunday0,mitapatel1,18
maryam-jan-akbari,tiffanymasson,18
jon-soos-56226b1ab,emilyparcell,18
ryan-zysman-3306b037,charomero,18
realbrycehenson,shawnfreeman-,18
steveob,shawnfreeman-,18
jeremiah-teo-charisma-business-coach,anisacela,18
seth-yakatan,shawnfreeman-,18
dianekucala,geezulkifli,17
dartarieks,rupalyadav999,17
alex-de-jong,jorgecalzada,17
varnaud,jorgecalzada,17
thomasallanjones,sara-a-riedel,17
michaela-daly-fcca,diannewblack,17
rupalyadav999,dartarieks,17
priscila-pree-silva,alliestories8,17
posts,alliestories8,17
michaela-daly-fcca,alliestories8,17
rayjbjang,chrislangsocial,17
geezulkifli,thomasallanjones,17
jeremiah-teo-charisma-business-coach,kelleybrakstad,17
renemadden,melisabuie,17
anjumemanuel,melisabuie,17
alliestories8,melisabuie,17
melisabuie,karen-stone-performancehabits,17
hasansajid,sanjivberi,17
petrawuest,marcellabremer,17
sliwowskik,sanjivberi,17
executivecareercoaching,ashleymunday0,17
mohammed-kasujee,mariasabio,17
caritanyberg,mariasabio,17
olga-krynicka-32b6b1275,mariasabio,17
drbatliwala,mariasabio,17
embracefulfillment,mariasabio,17
ionaholloway,ebonybeckwith,17
oliver-nshom-5206b8220,coryblumenfeld,17
melisabuie,chrismurphyhq,17
maryam-jan-akbari,paula-beattie-7a89795,17
jorgecalzada,paula-beattie-7a89795,17
rupalyadav999,renemadden,17
michaela-daly-fcca,renemadden,17
rupalyadav999,tiffanymasson,17
brandallwillis,emilyparcell,17
tracy-t-81610330,emilyparcell,17
sandygrigsby,emilyparcell,17
jess-cervellon,dradeelkhan-md,17
sandygrigsby,dradeelkhan-md,17
daniel-talkins-cpa-ca-cpa-usa-lpa-mmpa-143a8b54,charomero,17
brandallwillis,shawnfreeman-,17
karirusso,sliwowskik,17
ashishshukla-growth,rupalyadav999,16
tatianaechavarria,rupalyadav999,16
