profile_a,profile_b,a_to_b_count,b_to_a_count,total,a_role,b_role
jeremiah-teo-charisma-business-coach,mitapatel1,12,10,22,member,member
alliestories8,jeremiah-teo-charisma-business-coach,5,16,21,member,member
jorgecalzada,patrickcattin,6,15,21,member,member
dartarieks,sanjivberi,8,13,21,member,member
jeremiah-teo-charisma-business-coach,thomasallanjones,12,9,21,member,member
barryflanagan,jeremiah-teo-charisma-business-coach,9,12,21,member,member
geezulkifli,marcellabremer,10,11,21,member,member
maryam-jan-akbari,michellemaldonado,7,13,20,member,member
jeremiah-teo-charisma-business-coach,mariaee,12,8,20,member,member
jerryvalerio,mariasabio,9,11,20,member,member
jeremiah-teo-charisma-business-coach,jorgecalzada,10,10,20,member,member
renemadden,tiffanymasson,16,3,19,member,member
ionaholloway,jorgecalzada,4,15,19,member,member
mariasabio,sanjivberi,15,4,19,member,member
mennosiebinga,patrickcattin,4,15,19,member,member
kristaps-kazaks,patrickcattin,5,14,19,member,member
geezulkifli,paula-beattie-7a89795,7,12,19,member,member
jeremiah-teo-charisma-business-coach,raahul-seshadri,10,9,19,member,member
diannewblack,patrickcattin,5,13,18,member,member
ebonybeckwith,jeremiah-teo-charisma-business-coach,6,12,18,member,member
kristaps-kazaks,michellemaldonado,6,12,18,member,member
alliestories8,ebonybeckwith,10,8,18,member,member
alliestories8,rupalyadav999,9,9,18,member,member
geezulkifli,sineadmodonovan,5,12,17,member,member
jeremiah-teo-charisma-business-coach,patrickcattin,10,7,17,member,member
karen-stone-performancehabits,rupalyadav999,13,3,16,member,member
diannewblack,marcellabremer,3,13,16,member,member
charomero,dradeelkhan-md,13,3,16,client,client
jeremiah-teo-charisma-business-coach,lingabson,12,4,16,member,member
bridgett-strickler,michellemaldonado,6,10,16,member,member
hasansajid,jeremiah-teo-charisma-business-coach,3,12,15,member,member
ionaholloway,jeremiah-teo-charisma-business-coach,4,11,15,member,member
paula-beattie-7a89795,rupalyadav999,9,6,15,member,member
emilyparcell,gabrielmama,10,3,13,client,member
dartarieks,ebonybeckwith,9,4,13,member,member
jerryvalerio,mohammed-kasujee,4,9,13,member,member
mohammed-kasujee,seshannissanka,9,4,13,member,member
karen-stone-performancehabits,paula-beattie-7a89795,6,7,13,member,member
dartarieks,mennosiebinga,7,6,13,member,member
geezulkifli,hasansajid,9,3,12,member,member
jerryvalerio,nandiitaa,5,7,12,member,member
lingabson,mennosiebinga,7,4,11,member,member
michellemaldonado,tiffanymasson,4,6,10,member,member
alliestories8,paula-beattie-7a89795,6,4,10,member,member
diannewblack,geezulkifli,5,4,9,member,member
alliestories8,sara-a-riedel,5,4,9,member,member
ebonybeckwith,mariaee,4,5,9,member,member
kristaps-kazaks,lingabson,4,5,9,member,member
karen-stone-performancehabits,kristaps-kazaks,5,3,8,member,member
charomero,gabrielmama,5,3,8,client,member
ebonybeckwith,mahaalaoui,4,4,8,member,member
karen-stone-performancehabits,marcellabremer,3,4,7,member,member
mennosiebinga,tiffanymasson,4,3,7,member,member
marcellabremer,maryam-jan-akbari,3,3,6,member,member
